stockName,shortTerm,longTerm,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
NC-GUARGUM5_F1,2,100,0.01,0.008,5e-05,7.60742059156545
NC-GUARGUM5_F1,3,100,0.01,0.008,5e-05,-9.704519224371765
NC-GUARGUM5_F1,4,100,0.01,0.008,5e-05,-7.185295821152304
NC-GUARGUM5_F1,6,100,0.01,0.008,5e-05,9.69605850405333
NC-GUARGUM5_F1,8,100,0.01,0.008,5e-05,8.252584446327504
NC-GUARGUM5_F1,10,100,0.01,0.008,5e-05,4.638722980194143
NC-GUARGUM5_F1,12,100,0.01,0.008,5e-05,16.518287959386857
NC-GUARGUM5_F1,14,100,0.01,0.008,5e-05,2.080472083780327
NC-GUARGUM5_F1,16,100,0.01,0.008,5e-05,2.0596431006861593
NC-GUARGUM5_F1,2,150,0.01,0.008,5e-05,2.478250714267194
NC-GUARGUM5_F1,3,150,0.01,0.008,5e-05,8.884030065704929
NC-GUARGUM5_F1,4,150,0.01,0.008,5e-05,-9.6102780000912
NC-GUARGUM5_F1,6,150,0.01,0.008,5e-05,-0.7071632915244708
NC-GUARGUM5_F1,8,150,0.01,0.008,5e-05,3.913459778521422
NC-GUARGUM5_F1,10,150,0.01,0.008,5e-05,-4.046389432221542
NC-GUARGUM5_F1,12,150,0.01,0.008,5e-05,2.8619056470197357
NC-GUARGUM5_F1,14,150,0.01,0.008,5e-05,-7.41022330759471
NC-GUARGUM5_F1,16,150,0.01,0.008,5e-05,-3.874084485139162
NC-GUARGUM5_F1,2,200,0.01,0.008,5e-05,5.6696338453742
NC-GUARGUM5_F1,3,200,0.01,0.008,5e-05,-4.071752640286874
NC-GUARGUM5_F1,4,200,0.01,0.008,5e-05,-0.31766263304945364
NC-GUARGUM5_F1,6,200,0.01,0.008,5e-05,2.8883313926288734
NC-GUARGUM5_F1,8,200,0.01,0.008,5e-05,6.255294754538676
NC-GUARGUM5_F1,10,200,0.01,0.008,5e-05,7.353131809354796
NC-GUARGUM5_F1,12,200,0.01,0.008,5e-05,5.907631392970414
NC-GUARGUM5_F1,14,200,0.01,0.008,5e-05,1.8038931151566517
NC-GUARGUM5_F1,16,200,0.01,0.008,5e-05,0.19895426596205912
NC-GUARGUM5_F1,2,250,0.01,0.008,5e-05,1.4663568610507882
NC-GUARGUM5_F1,3,250,0.01,0.008,5e-05,5.97043450716952
