ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
1,80,0.0005,0.002,1e-05,-5.228371759986683
1,80,0.001,0.002,1e-05,-5.839844909519787
1,80,0.0015,0.002,1e-05,-6.5340163436640175
1,80,0.002,0.002,1e-05,-4.658079887188949
1,80,0.0005,0.006,1e-05,-3.2860904446081696
1,80,0.001,0.006,1e-05,-1.6757099050958346
1,80,0.0015,0.006,1e-05,-2.177235731497895
1,80,0.002,0.006,1e-05,-2.265576539042491
1,80,0.0005,0.008,1e-05,-4.662913368257815
1,80,0.001,0.008,1e-05,-4.063684933111111
1,80,0.0015,0.008,1e-05,-3.302648474724723
1,80,0.002,0.008,1e-05,-3.243874763420851
1,80,0.0005,0.01,1e-05,-5.493759981162983
1,80,0.001,0.01,1e-05,-5.356898858662651
1,80,0.0015,0.01,1e-05,-5.034486925999637
1,80,0.002,0.01,1e-05,-5.777787982725524
1,80,0.0005,0.002,5e-05,-14.201707587579193
1,80,0.001,0.002,5e-05,-9.328625438330407
1,80,0.0015,0.002,5e-05,-10.224212578225577
1,80,0.002,0.002,5e-05,-10.780342060802273
1,80,0.0005,0.006,5e-05,-14.736492537154444
1,80,0.001,0.006,5e-05,-3.654382950038537
1,80,0.0015,0.006,5e-05,-9.324235158261517
1,80,0.002,0.006,5e-05,-11.736814743691648
1,80,0.0005,0.008,5e-05,-18.3590618033192
1,80,0.001,0.008,5e-05,-6.936574708198274
1,80,0.0015,0.008,5e-05,-12.899402218090582
1,80,0.002,0.008,5e-05,-16.77809681816076
1,80,0.0005,0.01,5e-05,-18.44606795585587
1,80,0.001,0.01,5e-05,-7.9954742437973625
1,80,0.0015,0.01,5e-05,-15.401286167755114
1,80,0.002,0.01,5e-05,-19.172153028811543
1,80,0.0005,0.002,0.0001,-20.79300256246586
1,80,0.001,0.002,0.0001,-16.382896482844544
1,80,0.0015,0.002,0.0001,-14.327449756947164
1,80,0.002,0.002,0.0001,-12.155748587710969
1,80,0.0005,0.006,0.0001,-23.271772427516545
1,80,0.001,0.006,0.0001,-16.385993750208318
1,80,0.0015,0.006,0.0001,-19.939640706415528
1,80,0.002,0.006,0.0001,-19.85322504752699
1,80,0.0005,0.008,0.0001,-23.610699322479366
1,80,0.001,0.008,0.0001,-18.569635362664037
1,80,0.0015,0.008,0.0001,-19.408700003470237
1,80,0.002,0.008,0.0001,-18.99816235655435
1,80,0.0005,0.01,0.0001,-25.321336259388396
1,80,0.001,0.01,0.0001,-20.37762535971577
1,80,0.0015,0.01,0.0001,-23.017017330191425
1,80,0.002,0.01,0.0001,-22.442199990352908
1,80,0.0005,0.002,0.0002,-36.628195665990205
1,80,0.001,0.002,0.0002,-30.3605736125111
1,80,0.0015,0.002,0.0002,-25.824550333934116
1,80,0.002,0.002,0.0002,-23.010564181333194
1,80,0.0005,0.006,0.0002,-36.994509694000975
1,80,0.001,0.006,0.0002,-32.17991117323699
1,80,0.0015,0.006,0.0002,-26.271750434394047
1,80,0.002,0.006,0.0002,-23.31569689309758
1,80,0.0005,0.008,0.0002,-40.2383263271211
1,80,0.001,0.008,0.0002,-33.977258496858994
1,80,0.0015,0.008,0.0002,-26.29279409394918
1,80,0.002,0.008,0.0002,-17.92295096272459
1,80,0.0005,0.01,0.0002,-36.92902376607488
1,80,0.001,0.01,0.0002,-30.70138394130296
1,80,0.0015,0.01,0.0002,-25.062893751789574
1,80,0.002,0.01,0.0002,-18.574657847000687
4,80,0.0005,0.002,1e-05,-1.7803525310514101
4,80,0.001,0.002,1e-05,-1.1595143215909598
4,80,0.0015,0.002,1e-05,-3.1963939383742312
4,80,0.002,0.002,1e-05,-1.700684737518432
4,80,0.0005,0.006,1e-05,-3.0282531826512304
4,80,0.001,0.006,1e-05,-4.912092738925744
4,80,0.0015,0.006,1e-05,-8.940901137174272
4,80,0.002,0.006,1e-05,-9.237040413834475
4,80,0.0005,0.008,1e-05,-3.8251722055834603
4,80,0.001,0.008,1e-05,-5.164288817024443
