ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
1,80,0.0005,0.002,1e-05,-3.1083503635691567
1,80,0.001,0.002,1e-05,-3.088830956031008
1,80,0.0015,0.002,1e-05,-0.8790043876669151
1,80,0.002,0.002,1e-05,-2.5961904912678357
1,80,0.0005,0.006,1e-05,-6.380050162908201
1,80,0.001,0.006,1e-05,-7.177835134282762
1,80,0.0015,0.006,1e-05,-6.186235769343707
1,80,0.002,0.006,1e-05,-10.435004485873367
1,80,0.0005,0.008,1e-05,-7.137196048681627
1,80,0.001,0.008,1e-05,-7.790433605178326
1,80,0.0015,0.008,1e-05,-7.2753363586354975
1,80,0.002,0.008,1e-05,-12.358333950734535
1,80,0.0005,0.01,1e-05,-8.952011590426867
1,80,0.001,0.01,1e-05,-8.041780712967894
1,80,0.0015,0.01,1e-05,-6.548813200907933
1,80,0.002,0.01,1e-05,-11.96128885683574
1,80,0.0005,0.002,5e-05,-18.567252508414832
1,80,0.001,0.002,5e-05,-15.244153261271109
1,80,0.0015,0.002,5e-05,-13.131922937127138
1,80,0.002,0.002,5e-05,-11.670123232476314
1,80,0.0005,0.006,5e-05,-27.27938959639742
1,80,0.001,0.006,5e-05,-23.383210635206353
1,80,0.0015,0.006,5e-05,-20.753746086571525
1,80,0.002,0.006,5e-05,-19.75121271426068
1,80,0.0005,0.008,5e-05,-27.62705241721619
1,80,0.001,0.008,5e-05,-23.907095139462342
1,80,0.0015,0.008,5e-05,-23.224450447618004
1,80,0.002,0.008,5e-05,-21.951537211233653
1,80,0.0005,0.01,5e-05,-29.817855737004795
1,80,0.001,0.01,5e-05,-25.998929423017493
1,80,0.0015,0.01,5e-05,-23.68271736364046
1,80,0.002,0.01,5e-05,-23.92481593657988
1,80,0.0005,0.002,0.0001,-29.307754251941233
1,80,0.001,0.002,0.0001,-17.604750938074908
1,80,0.0015,0.002,0.0001,-15.085871383681049
1,80,0.002,0.002,0.0001,-15.533216498717861
1,80,0.0005,0.006,0.0001,-33.145862881689425
1,80,0.001,0.006,0.0001,-22.939447097246667
1,80,0.0015,0.006,0.0001,-18.414559610668746
1,80,0.002,0.006,0.0001,-20.61404161250322
1,80,0.0005,0.008,0.0001,-30.541312017119804
1,80,0.001,0.008,0.0001,-21.12070948896182
1,80,0.0015,0.008,0.0001,-16.920550044344886
1,80,0.002,0.008,0.0001,-19.656265075470525
1,80,0.0005,0.01,0.0001,-33.05496925579327
1,80,0.001,0.01,0.0001,-23.92565601449974
1,80,0.0015,0.01,0.0001,-19.103980316985602
1,80,0.002,0.01,0.0001,-23.000732756040932
1,80,0.0005,0.002,0.0002,-40.82271180924906
1,80,0.001,0.002,0.0002,-29.776819089590422
1,80,0.0015,0.002,0.0002,-24.101348523882994
1,80,0.002,0.002,0.0002,-24.62478785538097
1,80,0.0005,0.006,0.0002,-45.50830339920847
1,80,0.001,0.006,0.0002,-36.109044617056206
1,80,0.0015,0.006,0.0002,-23.895368785932693
1,80,0.002,0.006,0.0002,-26.263395837152615
1,80,0.0005,0.008,0.0002,-43.41267877403263
1,80,0.001,0.008,0.0002,-32.246191674347834
1,80,0.0015,0.008,0.0002,-22.13271293882978
1,80,0.002,0.008,0.0002,-24.168786607613267
1,80,0.0005,0.01,0.0002,-40.26715144522672
1,80,0.001,0.01,0.0002,-29.937250362959066
1,80,0.0015,0.01,0.0002,-18.32454896787197
1,80,0.002,0.01,0.0002,-22.523940674548726
4,80,0.0005,0.002,1e-05,-8.134302358000834
4,80,0.001,0.002,1e-05,-8.667109099392379
4,80,0.0015,0.002,1e-05,-8.381787968125408
4,80,0.002,0.002,1e-05,-7.892622471475597
4,80,0.0005,0.006,1e-05,-10.493835560725673
4,80,0.001,0.006,1e-05,-11.676894288542028
4,80,0.0015,0.006,1e-05,-11.70330644784795
4,80,0.002,0.006,1e-05,-11.266885116723625
4,80,0.0005,0.008,1e-05,-11.965811189533637
4,80,0.001,0.008,1e-05,-12.027842703712022
4,80,0.0015,0.008,1e-05,-12.426514757988649
4,80,0.002,0.008,1e-05,-11.92960969087209
4,80,0.0005,0.01,1e-05,-13.316299899745443
4,80,0.001,0.01,1e-05,-12.793716276114509
4,80,0.0015,0.01,1e-05,-12.284368135486057
4,80,0.002,0.01,1e-05,-12.066783023367101
4,80,0.0005,0.002,5e-05,-21.458939148077004
4,80,0.001,0.002,5e-05,-20.25734264503909
4,80,0.0015,0.002,5e-05,-21.144703502371144
4,80,0.002,0.002,5e-05,-17.86525602702811
4,80,0.0005,0.006,5e-05,-22.68861544497014
4,80,0.001,0.006,5e-05,-21.33054881493568
4,80,0.0015,0.006,5e-05,-18.483970351729774
4,80,0.002,0.006,5e-05,-17.80841268637594
