ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
1,100,0.0015,0.002,1e-06,0.9923131091774451
1,100,0.002,0.002,1e-06,0.941908812931791
1,100,0.003,0.002,1e-06,0.6107749748073044
1,100,0.005,0.002,1e-06,2.4410226934589607
1,100,0.0015,0.006,1e-06,1.3298275481480104
1,100,0.002,0.006,1e-06,1.9340464013940073
1,100,0.003,0.006,1e-06,1.6535123202050306
1,100,0.005,0.006,1e-06,4.124913513422079
1,100,0.0015,0.008,1e-06,1.1287358433618166
1,100,0.002,0.008,1e-06,1.7317556084201824
1,100,0.003,0.008,1e-06,1.4517782544852142
1,100,0.005,0.008,1e-06,3.918274887108608
1,100,0.0015,0.01,1e-06,0.9284405413668484
1,100,0.002,0.01,1e-06,1.5302659671017294
1,100,0.003,0.01,1e-06,1.25084313556032
1,100,0.005,0.01,1e-06,3.712454631592399
1,100,0.0015,0.002,5e-06,-0.4237055689576663
1,100,0.002,0.002,5e-06,-1.3504631641200637
1,100,0.003,0.002,5e-06,-1.0023238368560783
1,100,0.005,0.002,5e-06,1.4234285709739947
1,100,0.0015,0.006,5e-06,-0.6782229592901867
1,100,0.002,0.006,5e-06,-0.6882878720620766
1,100,0.003,0.006,5e-06,-0.11983746595495282
1,100,0.005,0.006,5e-06,2.082777260641855
1,100,0.0015,0.008,5e-06,-0.6286462971261786
1,100,0.002,0.008,5e-06,-0.736841232331864
1,100,0.003,0.008,5e-06,-0.7129866268531293
1,100,0.005,0.008,5e-06,0.6677718870374161
1,100,0.0015,0.01,5e-06,-0.9639908613458537
1,100,0.002,0.01,5e-06,-1.2182826296082472
1,100,0.003,0.01,5e-06,-1.2209016548278884
1,100,0.005,0.01,5e-06,1.0268296571903868
1,100,0.0015,0.002,1e-05,-2.772711245963344
1,100,0.002,0.002,1e-05,-4.384788957204588
1,100,0.003,0.002,1e-05,-3.4032587867363517
1,100,0.005,0.002,1e-05,-2.329248776010906
1,100,0.0015,0.006,1e-05,-4.612838570306044
1,100,0.002,0.006,1e-05,-4.527475032907368
1,100,0.003,0.006,1e-05,-2.200793286111369
1,100,0.005,0.006,1e-05,-1.6595277107778195
1,100,0.0015,0.008,1e-05,-5.705258880576636
1,100,0.002,0.008,1e-05,-4.702985260341286
1,100,0.003,0.008,1e-05,-3.2222830579399897
1,100,0.005,0.008,1e-05,-4.039127441722268
1,100,0.0015,0.01,1e-05,-6.199235911274437
1,100,0.002,0.01,1e-05,-6.073207396791336
1,100,0.003,0.01,1e-05,-3.473819124415789
1,100,0.005,0.01,1e-05,-1.7312714914224037
1,100,0.0015,0.002,5e-05,-7.468915957176847
1,100,0.002,0.002,5e-05,-9.623638656970657
