StockName,ST,LT,targetPercentage,stopLossPercentage,entryDifference,probability,profitPercentage
ACC,4,100,0.01,0.007,7.5e-05,0.3,-36.09050964619706
ACC,4,100,0.01,0.008,7.5e-05,0.3,-11.870884722927254
ASHOKLEY,4,100,0.01,0.007,7.5e-05,0.3,1.6196557063439476
ASHOKLEY,4,100,0.01,0.008,7.5e-05,0.3,-30.0295572827847
AXISBANK,4,100,0.01,0.007,7.5e-05,0.3,-23.433680735402096
AXISBANK,4,100,0.01,0.008,7.5e-05,0.3,-28.939699664576114
BHARTIARTL,4,100,0.01,0.007,7.5e-05,0.3,-32.81468423620526
BHARTIARTL,4,100,0.01,0.008,7.5e-05,0.3,-41.232889955589215
RELIANCE,4,100,0.01,0.007,7.5e-05,0.3,-28.94544421905695
RELIANCE,4,100,0.01,0.008,7.5e-05,0.3,-17.660482820652312
INFY,4,100,0.01,0.007,7.5e-05,0.3,-27.120421673462825
INFY,4,100,0.01,0.008,7.5e-05,0.3,6.209816546269686
WIPRO,4,100,0.01,0.007,7.5e-05,0.3,-3.0504072928428383
WIPRO,4,100,0.01,0.008,7.5e-05,0.3,6.989658523427011
PNB,4,100,0.01,0.007,7.5e-05,0.3,-61.71646525110861
PNB,4,100,0.01,0.008,7.5e-05,0.3,-28.20852755635319
SBIN,4,100,0.01,0.007,7.5e-05,0.3,-22.753029373222923
SBIN,4,100,0.01,0.008,7.5e-05,0.3,-21.973307478702242
SUNPHARMA,4,100,0.01,0.007,7.5e-05,0.3,-39.94804441889255
SUNPHARMA,4,100,0.01,0.008,7.5e-05,0.3,-50.92284554801072
GRASIM,4,100,0.01,0.007,7.5e-05,0.3,-6.473017751615462
GRASIM,4,100,0.01,0.008,7.5e-05,0.3,-25.81628391808263
LUPIN,4,100,0.01,0.007,7.5e-05,0.3,-18.01282043508552
LUPIN,4,100,0.01,0.008,7.5e-05,0.3,-55.21182409605636
LT,4,100,0.01,0.007,7.5e-05,0.3,-33.42582194793691
LT,4,100,0.01,0.008,7.5e-05,0.3,-40.137427715915344
HINDUNILVR,4,100,0.01,0.007,7.5e-05,0.3,17.457502258738234
HINDUNILVR,4,100,0.01,0.008,7.5e-05,0.3,-23.54594566105048
